Institution Name,Year of Establishment,Ownership,Category,Location (City),Decade Established,Ownership Group
"Federal College of Education (Technical), Asaba",1987,Federal Government,College of Education,Asaba,1980s,Federal
"Federal College of Education, Kano",1961,Federal Government,College of Education,Kano,1960s,Federal
"Federal College of Education (Special), Oyo",1977,Federal Government,College of Education,Oyo,1970s,Federal
"College of Education, Gindiri",1980,State Government,College of Education,Gindiri,1980s,State
"College of Education, Hong",1970,State Government,College of Education,Hong,1970s,State
"Tai Solarin College of Education, Ijebu-Ode",1978,State Government,College of Education,Ijebu-Ode,1970s,State
"College of Education, Ikere-Ekiti",1977,State Government,College of Education,Ikere-Ekiti,1970s,State
"Ebonyi State College of Education, (T) Ikwo",2001,State Government,College of Education,(T) Ikwo,2000s,State
"College of Education, Warri",1980,State Government,College of Education,Warri,1980s,State
"FCT College of Education, Zuba",1997,State Government,College of Education,Zuba,1990s,State
Delar College of Education,1990,Private,College of Education,,1990s,Private
"Federal College of Education, Abeokuta",1976,Federal Government,College of Education,Abeokuta,1970s,Federal
"Federal College of Education, Eha-Amufu",1981,Federal Government,College of Education,Eha-Amufu,1980s,Federal
"Federal College of Education (Technical), Gombe",1977,Federal Government,College of Education,Gombe,1970s,Federal
"Federal College of Education, Kontagora",1958,Federal Government,College of Education,Kontagora,1950s,Federal
"Federal College of Education, Okene",1974,Federal Government,College of Education,Okene,1970s,Federal
"Federal College of Education (Technical), Omoku",1989,Federal Government,College of Education,Omoku,1980s,Federal
"Federal College of Education (Tech), Potiskum",1976,Federal Government,College of Education,Potiskum,1970s,Federal
"Nasarrawa State College of Education, Akwanga",1976,State Government,College of Education,Akwanga,1970s,State
"Isa Kaita College of Education, Dutsin-Ma",1991,State Government,College of Education,Dutsin-Ma,1990s,State
"College of Education, Ekiadolor-Benin",1980,State Government,College of Education,Ekiadolor-Benin,1980s,State
"College of Education, Gashua, Damaturu",1986,State Government,College of Education,Damaturu,1980s,State
"Kaduna State College of Education, Gidan-Waya, Kafanchan",1977,State Government,College of Education,Kafanchan,1970s,State
"Osun State College of Education, Ilesa",1977,State Government,College of Education,Ilesa,1970s,State
College of Education Oro,1976,State Government,College of Education,,1970s,State
"College of Education, katsina-Ala",1976,State Government,College of Education,katsina-Ala,1970s,State
"Sa'adatu Rimi College of Education, Kumbotso, Kano",1981,State Government,College of Education,Kano,1980s,State
